COMBUSTÍVEL,ANO,REGIÃO,ESTADO,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUL,SANTA CATARINA,"74259,53","77533,197","63212,027","58397,379","64371,033","58968,2","60076,41","65169,67","63384,948","56960,332","775190,549","70003,703","62854,12"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO SUL,RIO GRANDE DO SUL,"129263,354","175462,124","225364,134","160593,818","150950,633","155872,554","169451,792","157565,61","184139,041","183614,219","141112,68","1978805,959",145416
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,"84477,19","87079,701","85387,11","88475,122","92675,46","82662,756","108033,75","111581,17","98243,662","103098,063","95601,968","73148,76","1110464,712"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO CENTRO-OESTE,MATO GROSSO,"2381033,995","184968,651","214002,295","210521,598","179869,24","181582,21","200271,064","223852,383","218353,969","200372,669","228686,185","194002,03","144551,701"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO CENTRO-OESTE,GOIÁS,"149833,82","2611067,892","213563,84","224269,942","235808,38","230385,889","236885,515","237234,696","233672,002","219499,031","206983,637","227822,31","195108,83"
ÓLEO DIESEL S-1800 (m3),2013,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,"29075,876","25899,502","362968,543","28358,4","27264,8","30302,2","31789,8","32129,543","29481,151","31840,307","33212,364","30700,3","32914,3"
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,RONDÔNIA,"2027,049","1440,115","1234,4","18708,548","2008,139","1294,389","994,644","1396,849","1607,085","1723,07","1443,963","1744,724","1794,121"
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,ACRE,25,109,40,"119,73","801,73",32,75,120,155,60,30,25,11
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,AMAZONAS,"8964,348","9607,29","9777,444","9709,044","8990,438","114417,675","9296,655","9958,27","10495,657","9447,882","8589,529","8971,578","10609,54"
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,RORAIMA,70,0,0,0,20,0,90,0,0,0,0,0,0
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,PARÁ,7856,"10082,7","8960,59","7546,4","8032,5",7771,"6634,7","106389,058","9490,658","10069,2","10130,3","9856,9","9958,11"
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,AMAPÁ,100,8,40,0,0,60,0,10,608,10,50,325,5
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORTE,TOCANTINS,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORDESTE,MARANHÃO,797,575,805,492,1072,717,648,1027,768,1018,9421,777,725
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORDESTE,PIAUÍ,130,165,125,275,155,240,180,135,210,135,145,2000,105
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORDESTE,CEARÁ,400,"275,331",360,480,720,765,"488,574",663,"491,872",960,540,605,"6748,777"
ÓLEO DIESEL MARÍTIMO (m3),2013,REGIÃO NORDESTE,RIO GRANDE DO NORTE,9349,605,1136,1035,575,826,905,819,640,655,815,781,557
